계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
22-01,건우,K,737,25,23-02,23-10,23-12,24-04,24-06,24-07,24-12,25-01,25-02,25-03,25-12,26-01,26-12,27-01
22-04,성원산업,K/S,2000,30,23-06,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,티엠디이엔지,K/H,2000,30,23-06,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-04,오토씨엔씨,S,1000,30,23-06,24-01,24-03,24-07,24-09,24-10,25-03,25-04,25-05,25-06,26-03,26-04,27-03,27-04
22-05,SM메디코어,K,2000,30,23-07,24-02,24-04,24-08,24-10,24-11,25-04,25-05,25-06,25-07,26-04,26-05,27-04,27-05
22-05,쇼핑스토리,S,1000,30,23-07,24-02,24-04,24-08,24-10,24-11,25-04,25-05,25-06,25-07,26-04,26-05,27-04,27-05
22-05,지구이엔지(프리),H,1000,30,23-07,24-02,24-04,24-08,24-10,24-11,25-04,25-05,25-06,25-07,26-04,26-05,27-04,27-05
22-06,케이엔에스건설,KB,1000,30,23-07,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-06,마테,S,1000,30,23-07,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-06,트로피안테크,S,1000,30,23-08,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-06,나현텍스타일,K,500,30,23-06,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-06,웰비아이,K,500,30,23-07,24-03,24-05,24-09,24-11,24-12,25-05,25-06,25-07,25-08,26-05,26-06,27-05,27-06
22-07,굿메드,K/SH,1000,30,23-08,24-04,24-06,24-10,24-12,25-01,25-06,25-07,25-08,25-09,26-06,26-07,27-06,27-07
22-07,창현텍스타일,DB,1000,30,23-08,24-04,24-06,24-10,24-12,25-01,25-06,25-07,25-08,25-09,26-06,26-07,27-06,27-07
22-08,엘앤엠테크,KB/SH,2000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,쁘리비스,K,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,인케이,SH/NH,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,제이원더,SH,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,케이원티앤씨,H,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,레오로지스틱스,H,1000,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-08,퍼즐시스템즈,NH,500,30,23-09,24-05,24-07,24-11,25-01,25-02,25-07,25-08,25-09,25-10,26-07,26-08,27-07,27-08
22-09,노아메드,K/NH/KB,2000,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,메디원,KB,1000,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,케이원티앤씨,SH,1000,30,23-09,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-09,하이그린,SH,500,30,23-10,24-06,24-08,24-12,25-02,25-03,25-08,25-09,25-10,25-11,26-08,26-09,27-08,27-09
22-10,한강메디칼,SH/NH,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,성실한종합건설(계약이관),NH2건,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,엘엔티테크 (코드 15회차),SH/K,1000,30,23-12,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,상도플러스,H,1000,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,하이그린,S,500,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-10,엠케이인터내셔날,NH,500,30,23-11,24-07,24-09,25-01,25-03,25-04,25-09,25-10,25-11,25-12,26-09,26-10,27-09,27-10
22-11,더파티움,SH/KB/S/K10건,10000,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-11,경기화성,KB/H,2000,30,23-12,24-08,24-10,25-02,25-04,25-05,25-10,25-11,25-12,26-01,26-10,26-11,27-10,27-11
22-12,케이엔에스건설(코드),K/SH,2000,30,24-02,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,다온앰이씨,K,500,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,비앤아이테크,S/SH,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,코랜,S,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,바름,S/SH,2000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,더원로지스틱스,SH/KB,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,와이케이트랜스,SH/KB,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,에이치엠글로벌,SH/ka,1000,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
22-12,제이피텍,DB,500,30,24-01,24-09,24-11,25-03,25-05,25-06,25-11,25-12,26-01,26-02,26-11,26-12,27-11,27-12
23-01,웰비아이,DB,500,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,메트로게이트,DB,2000,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,토브헤세드,SH/K,1897,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,아코스,DB,1000,36,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,에이치케이메디칼,K/S/NH,2000,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-01,세현메디칼,SH,490,30,24-02,24-10,24-12,25-04,25-06,25-07,25-12,26-01,26-02,26-03,26-12,27-01,27-12,28-01
23-02,마이엘로텍,K/KB,1500,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,디에스퓨어시스템,SH,1000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,비오크린,K/KB,1000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,씨앤피&에스앤씨컴퍼니,KB/ka/SH/NH/ka,5000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,토브헤세드,SH,1000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,파티웨딩유,SH,2000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-02,세현메디칼,KB/SH,1000,30,24-03,24-11,25-01,25-05,25-07,25-08,26-01,26-02,26-03,26-04,27-01,27-02,28-01,28-02
23-03,달그래,K,1000,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,유티어(코드),ka,1000,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,SM방염,SH,500,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,마이엘로텍,K,1000,30,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,한얼솔루션(코드),KB,1000,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,엘앤엠테크(코드),K/NH,1000,30,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,보노피엔에스,SH/NH,1000,36,24-04,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-03,더엠컴퍼니(코드),SH/KB,3000,36,24-06,24-12,25-02,25-06,25-08,25-09,26-02,26-03,26-04,26-05,27-02,27-03,28-02,28-03
23-04,제니스텍,KDB,1000,36,24-05,25-01,25-03,25-07,25-09,25-10,26-03,26-04,26-05,26-06,27-03,27-04,28-03,28-04
23-05,씨트라스해운,KB,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,승일,SH/NH,2000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,마스터피홀딩스,NH,1000,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-05,에스씨대호,NH,900,36,24-06,25-02,25-04,25-08,25-10,25-11,26-04,26-05,26-06,26-07,27-04,27-05,28-04,28-05
23-06,이엔이건설,SH/KDB/KB/NH,3000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,디자인플러스91,KDB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,유림전력,KB,500,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,그레이프네트웍스,SH/K,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,써미텍,DB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,에이치엠테크놀러지스,SH/KB,2000,36,24-10,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,마이엘로텍,KDB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,연승팜,M,1000,36,24-10,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,에스알이테크,KB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,더맥스,KB,1000,36,24-07,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-06,시민산업개발,NH/KB,1000,36,24-08,25-03,25-05,25-09,25-11,25-12,26-05,26-06,26-07,26-08,27-05,27-06,28-05,28-06
23-07,세현메디칼,M,1000,37,24-12,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,에이엘엘종합건설,SH,1940,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,지디씨,SH,3000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,남양방재,SH,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,영일철강,S/KDB,1500,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,에센바이오,S/SH,1000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,리스너,SH/S/K,4000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,우진바이오,SH,2000,37,24-08,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-07,원텍솔루션,M,980,37,24-11,25-04,25-06,25-10,25-12,26-01,26-06,26-07,26-08,26-09,27-06,27-07,28-06,28-07
23-08,투엔티투,S/M,2990,38,24-11,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,함께하는이평,SH,1000,38,24-08,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,대주기초,K/M,2000,37,24-11,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,노아메드,SH,1000,48,24-09,25-07,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,지구이엔지(코드),M,980,37,25-01,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-08,"러셀런텍
 (9월 삼성계약포함)",S/SH/M,2970,38,24-11,25-05,25-07,25-11,26-01,26-02,26-07,26-08,26-09,26-10,27-07,27-08,28-07,28-08
23-09,좋은세상건설/대륜종합건설,S/M,3990,38,24-11,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,물류존,S,1000,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-09,에스앤비,SH,1000,38,24-09,25-06,25-08,25-12,26-02,26-03,26-08,26-09,26-10,26-11,27-08,27-09,28-08,28-09
23-10,모닝,S,1000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,엠케이산업,S,3000,38,24-10,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,탄탄건설,M,1500,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,아트만파트너스,S/NH/M,2000,38,24-12,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-10,윈메딕스,M,1000,38,25-01,25-07,25-09,26-01,26-03,26-04,26-09,26-10,26-11,26-12,27-09,27-10,28-09,28-10
23-11,애드바이오메디텍,S/NH,2000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,아이에스에이상운,SH/S,5000,48,24-11,25-10,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,지브로,S/K,1500,48,24-11,25-10,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-11,하이월드테크,S/SH,3000,38,24-11,25-08,25-10,26-02,26-04,26-05,26-10,26-11,26-12,27-01,27-10,27-11,28-10,28-11
23-12,크로스웍스(프리),S/M,1500,38,25-05,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,크로스웍스(현금),S/M,4011,38,25-02,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,민성,S/SH,3002,38/48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,비에스메디케어,S,1000,38,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,유니마이크로,S,1000,38,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
23-12,두일테크,S,1000,38,25-01,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
24-01,아이글로벌(프리),M/S,1000,38,25-04,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,비엠테크,S,2000,38,25-02,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,샤이홀딩스,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,아이글로벌(현금),M/S,1000,38,25-03,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,승일,S,1004,48,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-02,에스유푸드(프리),S,1000,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,한성이에스,S,2000,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,유농바이텍,S,1500,38,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,이에치엔지니어링(선지급),S/SH,3002,38,25-03,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-03,제이케이뉴트라,S/SH,2001,48,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,이제이텍,S,3001,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,제이에스티일렉트로닉스,S,1958,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,디씨씨,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,아이디진정성,S,2001,38,25-04,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-04,한사랑식품,S/SH,3000,38/48,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,엠엘디티에스,K,2000,60,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,로지스팩토리,S,2000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-05,빅21테크,S/SH,1500,48,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,남양로직스,S,500,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,내덕건설,S,1000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,아트리움컨설턴트,S,2000,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,조합경영&엠유엠,S,3001,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-05,이앤씨씨,S,1500,38,25-05,26-02,26-04,26-08,26-10,26-11,27-04,27-05,27-06,27-07,28-04,28-05,29-04,29-05
24-06,테스(프리),SH/M,1004,38,25-07,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,심스코리아,SH,2900,48,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,도담터,S,2020,38,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,태건비에프,S,1000,38,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,오테크닉스,S,2000,38,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,도연시스템즈,S,3000,38,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06
24-06,킴앤코투자개발,S,3700,38,25-06,26-03,26-05,26-09,26-11,26-12,27-05,27-06,27-07,27-08,28-05,28-06,29-05,29-06